"compartment","contrast","n_primary_with_age","n_sensitivity_without_age","n_shared","jaccard","logfc_spearman"
"cortex","CKD34 - Control",5117,5087,4950,0.942,0.9994
"medulla","CKD12 - Control",3578,1908,1908,0.533,0.9979
