"sample_id","group","epithelial","immune","fibroblast","up_PC1","down_PC1"
"Cat_20","CKD34",-1.24236213589245,1.64199359846063,0.883124294161274,43.2908889091154,-39.0571998042805
"Cat_03","Control",0.0396727126551425,0.128802815624916,0.86951839349387,-7.96829529854806,9.13662046014825
"Cat_14","CKD12",0.377462183847647,-0.909702536251169,-0.601711764831375,3.78883934733576,-25.6135620801044
"Cat_05","Control",0.0657414688242539,-1.22738610333079,-0.930504268380681,-58.4933773648802,64.3273805704432
"Cat_17","CKD34",-0.550719828256137,-0.0192308265615761,-0.0254173754112802,-9.33750432859984,21.2095500223533
"Cat_08","CKD12",0.40367204963265,-0.310466030901947,-0.100397601341377,28.2052728529305,-27.7836292943861
"Cat_10","CKD12",0.46032493740625,-0.501011713529268,0.265653807496914,-9.96480982753071,19.4471063864952
"Cat_23","CKD34",-0.344618854373962,0.010860911767378,0.897109383849136,-5.52930453712055,20.2838389666597
"Cat_22","CKD34",0.561232635065865,-0.0744961487993102,-0.747584724462723,10.0231672716448,-24.1762611457605
"Cat_11","CKD12",-0.504774864507742,0.740978869862423,0.149913248033192,30.1123529973742,-34.005114459636
"Cat_16","CKD12",-0.696866244109538,1.59039637257356,1.06568898336003,39.0340003032844,-41.9825729901648
"Cat_06","Control",0.370010063260621,-0.949202260338232,-0.884849593071839,-47.3588738142446,47.280241600109
"Cat_02","Control",0.182994608027928,-0.640432597999115,-0.525207599975617,-49.8963436816789,58.945126384049
"Cat_01","Control",0.488437832200365,-1.08317405770529,-0.910431039289801,-19.729029278155,10.4446489019943
"Cat_15","CKD12",-0.334282925308613,1.12233226205473,1.40331501525522,14.8573962340555,-8.69097345729504
"Cat_04","Control",0.380376845774425,-0.926285977284808,-0.82503939439847,-11.3075635364342,-11.0515851670003
"Cat_07","CKD12",0.181127272117257,0.309669398537045,-0.527279401913406,25.7306267143945,-28.536190980642
"Cat_18","CKD34",0.162572243636037,1.09635402382082,0.544099637426925,24.5425570370571,-10.1774239129826
