"gene_symbol","log_fc","fdr","mean_tissues","frac_kidney_specific","mean_fold_change","n_enhancers","state"
"DDX19A",-0.130525609235438,0.511903567503647,4.5,0,6.624,2,"unchanged"
"DDX20",0.254057569662227,0.0512867825938527,3,0,3.681,1,"induced"
"DDX23",0.0685133027265756,0.63866500182055,7,0,13.956,1,"unchanged"
"DDX24",0.0545190020534783,0.70900208361962,3.667,0.333,5.665,3,"unchanged"
"DDX27",0.199443110821246,0.257109956244467,4,0,1.771,1,"unchanged"
"DDX28",-0.235127536054393,0.451271465338152,2,0,3.745,1,"unchanged"
"DDX31",0.107553090386497,0.384387594200003,2.5,0,3.987,4,"unchanged"
"DDX42",0.0298491537989758,0.781045340234479,2,0,5.503,3,"unchanged"
"DDX47",0.196057944774481,0.177283539801603,3.5,0,5.348,2,"unchanged"
"DDX49",0.240850300090393,0.0827432230219817,6,0,4.294,1,"induced"
"DDX54",0.128235757109734,0.370658971042902,7,0,4.721,1,"unchanged"
"DDX56",-0.26387323727283,0.268492671271966,1,1,3.282,1,"unchanged"
"DDX6",0.136079991557724,0.355862630466165,1,1,3.834,1,"unchanged"
"DECR1",-1.22920798594321,0.0174663533783162,4.333,0,4.396,3,"repressed"
"DEFB1",0.504872421062121,0.247592901795315,1.333,0.667,6.135,9,"unchanged"
"DELE1",-0.175330325081045,0.118522772520308,6,0,11.685,1,"unchanged"
"DENND10",0.0596267688838577,0.769993754631379,4,0.5,11.199,2,"unchanged"
"DENND11",-0.877781726616263,0.0570774268984451,1,1,3.451,2,"repressed"
"DENND1C",2.12861943730477,0.0543811744140377,5,0,6.288,1,"induced"
"DENND2B",0.466146293482167,0.0546521832149383,7,0,16.928,1,"induced"
"DENND2D",0.38423079809202,0.11828664829085,3.5,0,4.831,2,"unchanged"
"DENND3",0.511752991168676,0.117885512469887,5.75,0,9.397,4,"unchanged"
"DENND4C",-0.0118757491831474,0.972042689290648,5,0,3.067,1,"unchanged"
"DERL3",0.0963775965913571,0.861047422502685,3.333,0,4.641,6,"unchanged"
"DES",0.0408876796766489,0.93072721255263,5.333,0,4.243,3,"unchanged"
"DGCR2",-0.297938007027429,0.0459106577292443,3.2,0,3.113,5,"repressed"
"DGCR6L",-0.192628323951797,0.217684642086006,3.25,0,4.064,4,"unchanged"
"DGKE",0.0804670791603082,0.721058794690144,1,1,2.652,1,"unchanged"
"DGKG",1.75496277422085,0.019591617301107,3.5,0,3.101,2,"induced"
"DGKH",0.216236171677099,0.588311030575954,7,0,22.391,1,"unchanged"
"DGKZ",-0.250792415638851,0.178336227944961,5,0,5.061,1,"unchanged"
"DGUOK",-0.0409618152323903,0.818209702895595,3.5,0,5.374,2,"unchanged"
"DHDH",-2.84322091659751,0.00431484224799536,1.333,0.833,5.155,6,"repressed"
"DHRS13",-0.695910643069619,0.0653820812601504,1.75,0.25,4.473,4,"repressed"
"DHRS7B",0.489439934886351,0.0404080464256396,3,0,3.834,1,"induced"
"DHTKD1",-0.822516660017646,0.238439316040431,2,0.2,3.527,5,"unchanged"
"DHX15",0.0911728765370716,0.524085691568357,2,0,5.138,2,"unchanged"
"DHX32",-0.329324485173514,0.460130616739113,1.333,0.667,4.354,6,"unchanged"
"DHX34",0.399725979366375,0.262756237261836,2,0.5,4.831,2,"unchanged"
"DHX40",-0.226322253174689,0.288990803991783,1.5,0.5,3.527,2,"unchanged"
"DHX8",-0.100394494601574,0.351972377814581,1,1,2.635,2,"unchanged"
"DHX9",-0.0777764390934976,0.665749968124605,3.667,0.333,3.885,3,"unchanged"
"DIAPH1",-0.322420964970792,0.0932965761968434,4.167,0,4.244,6,"repressed"
"DIAPH3",-0.947641100701372,0.112824928181143,1,1,4.447,1,"unchanged"
"DIO1",-1.90340841382744,0.0105880881402435,1,1,4.244,5,"repressed"
"DIP2B",0.149291018172471,0.250182516847665,7,0,11.393,1,"unchanged"
"DIPK2B",-0.0396180603661267,0.947025765427627,3.5,0,3.067,2,"unchanged"
"DISC1",0.398538542098584,0.456325129458804,6,0,5.949,1,"unchanged"
"DKC1",0.470311279405717,0.0196362203846438,4,0,3.681,1,"induced"
"DKK3",0.964916891039022,0.161609941056414,7,0,3.254,1,"unchanged"
"DLD",-0.753093158593996,0.0896070796470081,4,0,10.8,1,"repressed"
"DLG1",-0.361404406492008,0.0626137057027038,4,0,3.427,5,"repressed"
"DLG3",-0.561010819261905,0.0162849898496127,7,0,7.208,1,"repressed"
"DLGAP1",0.0673429303384954,0.942206725875164,5,0,8.742,1,"unchanged"
"DLGAP3",0.634134529858359,0.262397727437513,7,0,16.029,1,"unchanged"
"DLL4",-1.3408322826442,0.00588984235567128,4.714,0.143,6.223,7,"repressed"
"DMAC1",-0.541175245706079,0.031103454671886,2,0,4.601,1,"repressed"
"DMGDH",-1.72567168483386,0.0479044342903248,3,0,4.192,2,"repressed"
"DMXL1",-0.284480545968042,0.406336724327964,1.333,0.667,3.425,3,"unchanged"
"DMXL2",-0.939806271684579,0.0841329408615626,1.25,0.75,3.907,4,"repressed"
"DNAAF4",-0.168867220601839,0.610511646180182,5,0,2.855,1,"unchanged"
"DNAAF5",-0.0941755456776709,0.663376989399397,7,0,12.115,1,"unchanged"
"DNAH10",0.199048596097682,0.72796483634978,4.5,0,5.539,4,"unchanged"
"DNAH14",-1.64861680870724,0.22966138638491,1,1,4.294,1,"unchanged"
"DNAH2",0.183769421302725,0.646581788572509,3.6,0,5.38,5,"unchanged"
"DNAH6",0.222805291481531,0.696077021837341,1,1,2.404,1,"unchanged"
"DNAH9",1.68959373959041,0.0473050964377146,1.4,0.6,4.079,5,"induced"
"DNAI3",0.124034521204851,0.843251424487197,5,0,5.6,1,"unchanged"
"DNAJB6",-0.230103171228392,0.144123313050033,6.5,0,7.303,2,"unchanged"
"DNAJC1",-0.0881545531544399,0.61964693701993,2,0,2.607,1,"unchanged"
"DNAJC12",7.69167482719268e-05,0.999972235509865,2,0.333,3.956,3,"unchanged"
"DNAJC18",0.842902388350549,0.0426892493539394,5.333,0,5.879,3,"induced"
"DNAJC3",0.251679816624242,0.0997305779531604,4,0,2.266,2,"induced"
"DNAJC6",-1.04176381655889,0.0534612225989158,4,0,5.379,2,"repressed"
"DNAJC9",-0.0694474488119088,0.723678173620507,7,0,4.372,1,"unchanged"
"DNAL4",-0.19930505588188,0.180597788528647,3,0,4.46,4,"unchanged"
"DNASE1",-1.23638225439743,0.113842431288562,1,1,3.709,2,"unchanged"
"DNASE1L2",-0.414044698717512,0.184081007707526,6,0,4.214,2,"unchanged"
"DNLZ",-0.234616670733734,0.326204908051253,4,0,5.674,1,"unchanged"
"DNM3",0.322488567679058,0.368129494704672,3,0.5,2.885,2,"unchanged"
"DNMT1",0.356894512971383,0.134267674227908,6,0,10.826,2,"unchanged"
"DNPEP",0.222978251010869,0.418330105772146,7,0,16.171,1,"unchanged"
"DNTTIP2",0.0847664106513344,0.588311030575954,7,0,13.259,1,"unchanged"
"DOCK11",-0.256877709089591,0.323318053974426,1,1,4.601,1,"unchanged"
"DOCK4",-0.159488605227252,0.482185401694941,1.5,0.5,3.148,4,"unchanged"
"DOCK5",-0.552498453609407,0.109251622865236,1.333,0.778,4.132,9,"unchanged"
"DOCK6",0.564311671865098,0.0197929391485239,6,0,15.183,1,"induced"
"DOCK8",-0.284330238538575,0.139822808000751,3.5,0.5,4.093,2,"unchanged"
"DOCK9",0.604042765530627,0.0158011929121123,5,0,4.064,2,"induced"
"DOK1",0.815192985647777,0.101305383711671,7,0,10.245,1,"unchanged"
"DOK2",1.87383372619535,0.0503600920881537,6,0,2.996,1,"induced"
"DOK4",0.208138896379046,0.411873959587199,6,0,6.313,2,"unchanged"
"DOK6",0.215311565872969,0.75402910288753,2,0,3.221,1,"unchanged"
"DOLK",-0.0673720105403515,0.803168677531496,6,0,5.521,1,"unchanged"
"DOLPP1",0.104930791622404,0.747792252104872,3.25,0,5.089,4,"unchanged"
"DPEP1",-0.882016916743974,0.050072131235805,4.25,0.25,4.575,4,"repressed"
"DPH1",0.202635219105096,0.230107530206144,7,0,3.755,1,"unchanged"
"DPH5",-0.42128664474392,0.0169195591327631,4.2,0,8.945,5,"repressed"
"DPH6",-0.252605253887131,0.440360580874543,2.571,0.143,3.791,7,"unchanged"
"DPH7",0.213978849014385,0.193829410600678,4.5,0,6.923,2,"unchanged"
"DPM3",0.212929508339276,0.461706404151413,4.333,0,5.332,3,"unchanged"
"DPP9",0.205018062717897,0.284527308540695,3,0,6.594,1,"unchanged"
"DPY30",-0.179247872584876,0.156876317661626,7,0,15.428,1,"unchanged"
"DPYSL3",0.507886749949551,0.185850980640496,3,0.333,5.422,3,"unchanged"
"DPYSL4",0.818679964577711,0.0371734078131957,3,0.333,5.163,3,"induced"
"DR1",0.0366196236554543,0.901257506699584,1,1,2.865,3,"unchanged"
"DRAM2",-0.23317116153892,0.302016494904137,4.6,0,4.256,5,"unchanged"
"DRC1",-0.00431029669252858,0.991342081718615,4,0,5.83,1,"unchanged"
"DRG2",-0.427058744211315,0.0491698407859276,2,0,3.526,2,"repressed"
"DROSHA",-0.102778707374301,0.4697778243432,2,0,3.374,1,"unchanged"
"DRP2",0.775664989732922,0.329706420624884,7,0,10.889,1,"unchanged"
"DSCC1",1.41870069001391,0.0230328000925289,3.917,0,3.33,12,"induced"
"DSTN",-0.293310536106016,0.125919835412462,3.5,0,3.766,4,"unchanged"
"DTD1",0.0786879035917254,0.747805653397767,2,0,3.527,1,"unchanged"
"DTNA",0.130711226510641,0.823856451702167,5,0,3.374,1,"unchanged"
"DTNB",-0.380108209050897,0.083082497433186,2,0,5.061,1,"repressed"
"DTNBP1",-0.534359320260027,0.0377797473826803,1,1,2.271,1,"repressed"
"DTX3",0.356573628482332,0.367536278306334,3.667,0,4.964,3,"unchanged"
"DTX3L",0.608403121251182,0.074872308969986,5,0,2.76,1,"induced"
"DUOX2",0.7899961933308,0.283348214177857,2.333,0.333,4.944,6,"unchanged"
"DUOXA2",1.04789780601347,0.121137158127583,2.333,0.333,4.944,6,"unchanged"
"DUSP1",-0.305677688677899,0.641544822183493,4.158,0.053,4.246,19,"unchanged"
"DUSP11",-0.143204579881361,0.266107762959444,7,0,29.821,1,"unchanged"
"DUSP15",1.85135481487255,0.0160366634717323,6,0,7.821,1,"induced"
"DUSP18",0.253693813489437,0.314828334417151,5,0,2.939,1,"unchanged"
"DUSP19",-0.288630909207685,0.313431979672277,3.667,0.333,8.156,3,"unchanged"
"DUSP3",0.176875936556256,0.451360650747214,1,1,2.436,2,"unchanged"
"DUSP4",1.19331136201927,0.0377797473826803,1,1,3.834,1,"induced"
"DUSP5",2.33975114843433,0.00558578197927428,4.111,0.111,3.864,9,"induced"
"DUSP8",0.199329721654771,0.656560520279992,6.5,0,6.748,2,"unchanged"
"DUSP9",0.358902133724794,0.515683408610126,3.333,0.333,5.879,3,"unchanged"
"DYNC2LI1",-0.205498647982435,0.566818160368898,2.429,0.429,6.331,7,"unchanged"
"DYNLL1",0.367542644546099,0.230554567613449,6.5,0,8.721,2,"unchanged"
"DYNLL2",-0.51313531053284,0.043521603278735,5,0,4.697,2,"repressed"
"DYNLT1",-0.176556739050501,0.457459126647197,3,0,3.719,3,"unchanged"
"DYRK3",0.0276130799477343,0.952896055846399,2,0,3.133,2,"unchanged"
"DYSF",-0.576689657908132,0.0833512444551032,7,0,29.138,1,"repressed"
"DZIP1",0.324453550907664,0.0966146699192405,6,0,4.853,1,"induced"
"DZIP3",-0.504284434694014,0.0654133444431407,1,1,3.834,1,"repressed"
"E2F3",0.094022181741158,0.778202464342113,1,1,2.672,1,"unchanged"
"E2F4",0.252386782389945,0.172293205725189,4,0,3.34,1,"unchanged"
"EARS2",-0.341239775338477,0.2856016948993,4.333,0,3.997,3,"unchanged"
"EBPL",-0.655977427097616,0.0699980513581208,1.5,0.5,3.565,2,"repressed"
"ECE1",-0.000471139225907358,0.998782346081748,4.5,0,10.168,2,"unchanged"
"ECH1",-0.0775556733677698,0.804694482654362,5.333,0,4.046,3,"unchanged"
"ECHDC1",0.0553829755635205,0.955652206766233,1,1,5.53,2,"unchanged"
"ECM1",1.32411413540185,0.091164847636282,3.333,0.333,3.709,3,"induced"
"ECRG4",1.37655124059758,0.145506798948852,1.667,0.333,4.038,3,"unchanged"
"ECSCR",0.519975867430206,0.167639004679655,5.333,0,5.879,3,"unchanged"
"ECSIT",-0.389309482365623,0.127950253426062,7,0,8.295,1,"unchanged"
"ECT2L",-0.859689392385312,0.104392814049885,4.5,0,9.27,2,"unchanged"
"EDAR",1.30146335200765,0.244617496073635,3.333,0,2.914,3,"unchanged"
"EDC3",0.213504698746294,0.46555345521497,6,0,4.769,2,"unchanged"
"EDEM3",0.262647545109065,0.259985730502132,6,0,6.292,1,"unchanged"
"EDN1",1.51509686364334,0.00664800829518784,5,0,6.441,1,"induced"
"EDN2",2.75089298687894,0.0166320182441244,3,0,3.072,1,"induced"
"EDRF1",-0.581488039654539,0.00831144843206926,3.5,0,5.436,2,"repressed"
"EED",-0.19222558572387,0.100108373515859,2,0.333,2.718,3,"unchanged"
"EEF1A2",0.862442570089545,0.275091956281655,5,0,3.239,1,"unchanged"
"EEF1AKMT3",-0.465758988628985,0.383920789245921,2,0,4.141,1,"unchanged"
"EEF1B2",0.239725374082559,0.280060924851991,3.5,0,5.623,2,"unchanged"
"EEF1G",-0.0601020855331118,0.81984674425275,6,0,3.335,2,"unchanged"
"EEPD1",0.338063070257067,0.141559479941517,2.333,0,3.978,3,"unchanged"
"EFCAB10",0.0812439508064986,0.825563828001065,1,1,4.25,2,"unchanged"
"EFCAB3",-1.28611090697102,0.124807881034262,5.167,0,4.025,6,"unchanged"
"EFHB",0.265841032328329,0.610856277551595,4,0,3.589,4,"unchanged"
"EFHC1",0.202510876111684,0.521169877665081,3.917,0.083,4.027,12,"unchanged"
"EFHC2",0.254378151965413,0.546534486232524,5,0,2.914,1,"unchanged"
"EFNB2",-0.642631683121095,0.0121296261828912,4.4,0.2,5.079,5,"repressed"
"EFR3B",-0.582376515911164,0.397504231252623,3.167,0,4.425,12,"unchanged"
"EGF",-3.32878103991121,0.0122628113509918,1,1,3.862,3,"repressed"
"EGFR",0.352645893923492,0.0720382182487909,5,0,4.908,1,"induced"
"EHBP1",0.310158652621157,0.22388371330244,4.286,0.143,6.285,7,"unchanged"
"EHD2",0.995657945074516,0.0278508428011452,4.5,0,4.677,2,"induced"
"EHD3",-0.904278743627803,0.0339509619432383,4.333,0,5.419,3,"repressed"
"EHF",1.7461012905278,0.0048133053088007,2.4,0.2,3.48,5,"induced"
"EHMT1",0.137540798190602,0.281209744925024,6,0,8.285,1,"unchanged"
"EID3",0.331854096425622,0.310615600182064,1,1,2.319,1,"unchanged"
"EIF2AK1",0.127229836877083,0.348916213221584,7,0,19.215,1,"unchanged"
"EIF2B1",-0.0450863711638059,0.792374614051998,6,0,4.754,1,"unchanged"
"EIF2B2",-0.0386409402846128,0.826159101583575,5,0,4.207,8,"unchanged"
"EIF2B4",0.0923608433732026,0.569751937040852,3,0,2.846,1,"unchanged"
"EIF3E",-0.170337402239382,0.264187363989484,7,0,15.522,1,"unchanged"
"EIF3K",-0.104850372134235,0.604600483426086,6,0,5.747,1,"unchanged"
"EIF3L",-0.308427828779773,0.0916506279641137,2.2,0.2,4.884,5,"repressed"
"EIF3M",-0.111251351671915,0.453463525765268,1.167,0.833,4.146,6,"unchanged"
"EIF4A1",0.843721297949401,0.00577770871303924,5,0,2.672,1,"induced"
"EIF4E",-0.106042672860312,0.574996700795849,7,0,18.548,1,"unchanged"
"EIF4EBP3",0.119029809675048,0.675774997312994,7,0,3.221,1,"unchanged"
"EIF6",0.0953988439782565,0.680312129479382,4,0,4.143,1,"unchanged"
"EIPR1",-0.0749945121389826,0.761189433992575,3,0,1.757,1,"unchanged"
"ELANE",2.90952912599791,0.0447617461395763,6,0,3.221,2,"induced"
"ELF5",-1.73309933406235,0.0144800048063897,1,1,4.336,7,"repressed"
"ELFN1",0.50992003397559,0.158100101113488,1.5,0.5,3.31,4,"unchanged"
"ELK1",0.24092635835186,0.173832506816299,4,0.5,6.27,2,"unchanged"
"ELK3",0.327017028982867,0.256682012109033,3.333,0,4.895,6,"unchanged"
"ELK4",0.145294651140012,0.559333932042359,5,0,4.475,3,"unchanged"
"ELL3",-0.638617231275045,0.0286805126480211,7,0,4.908,1,"repressed"
"ELMOD1",-1.00550480380137,0.134294957724156,2.667,0.333,4.34,3,"unchanged"
"ELOA",-0.0769505532121517,0.549560644616655,1.833,0.667,3.965,6,"unchanged"
"ELOB",-0.160730283069723,0.461165190995113,7,0,21.064,1,"unchanged"
"ELOC",-0.272213090903898,0.157783770183276,4.5,0,8.437,2,"unchanged"
"ELOF1",-0.104657691401842,0.583083510322667,1,1,2.951,2,"unchanged"
"ELOVL5",-0.209890250730747,0.350923972517022,7,0,18.364,1,"unchanged"
"ELP6",0.333944180640638,0.0972001615310889,7,0,6.039,1,"induced"
"EMC10",-0.0319674196424211,0.822634907593277,7,0,13.342,1,"unchanged"
"EMC2",-0.243700098015229,0.244792909271479,7,0,15.522,1,"unchanged"
"EMC3",-0.479778030001951,0.0437513424525001,7,0,5.368,1,"repressed"
"EMC4",-0.22407085739441,0.198135682483743,7,0,13.066,1,"unchanged"
"EMC8",-0.00590544055447317,0.972475696194227,4,0,5.061,1,"unchanged"
"EMCN",-0.503088393364967,0.152262166786544,1.5,0.667,4.696,6,"unchanged"
"EME1",0.622775524100015,0.0769262956889678,4.5,0,5.299,2,"induced"
"EMID1",-0.861090965789368,0.0492878236177344,3.286,0.143,6.238,7,"repressed"
"EMILIN1",1.26497779895331,0.0351263229969196,3,0,3.233,2,"induced"
"EMILIN2",2.38956712398623,0.00810044516608624,4.5,0,2.746,2,"induced"
"EML2",0.283178701587888,0.070889689971251,7,0,8.869,2,"induced"
"EML4",0.561727792966468,0.0406972788514531,4.667,0,3.618,3,"induced"
"EML6",0.541615663918342,0.307059063239492,6,0,3.067,1,"unchanged"
"EMP1",1.46933374826456,0.00567032228060145,4.75,0,6.485,4,"induced"
"EMP2",1.07542599597238,0.02333425501345,4,0,4.313,6,"induced"
"EMP3",1.50593708386373,0.0258503636022914,7,0,9.28,1,"induced"
"EMX1",-1.49309266393426,0.0183496692121575,3,0,3.756,2,"repressed"
"ENC1",1.87554981186415,0.0115735681715899,2.5,0,5.369,4,"induced"
"ENDOD1",1.21289697293952,0.0121444879987254,3,0,4.141,1,"induced"
"ENDOG",-0.678700055058221,0.175731785453946,3,0,3.144,2,"unchanged"
"ENG",0.202978948689291,0.548391709790658,6,0,14.026,1,"unchanged"
"ENGASE",-0.949415074224759,0.00894429318185634,3.286,0.286,4.312,7,"repressed"
"ENO2",0.796790238563366,0.147228585697524,7,0,9.716,1,"unchanged"
"ENO3",-0.224914702797621,0.320119712796498,6,0,5.842,1,"unchanged"
"ENOX1",-0.756370053037854,0.111623109945808,1,1,4.294,2,"unchanged"
"ENPEP",-0.631536404898208,0.437358170421141,1,1,3.629,2,"unchanged"
"ENPP1",-0.0991156949069438,0.81350281387884,2.2,0.2,4.693,5,"unchanged"
"ENPP2",-0.400529714723889,0.0683598548732009,3,0.25,6.005,4,"repressed"
"ENPP3",0.844314052093576,0.201762687821185,3,0,4.606,2,"unchanged"
"ENPP5",-0.788182846820364,0.319814206965405,2,0.5,3.881,2,"unchanged"
"ENSA",-0.222940369942254,0.102575206965285,4,0,3.374,1,"unchanged"
"ENTHD1",1.05736753781501,0.329706420624884,1.5,0.5,3.146,2,"unchanged"
"ENTPD1",0.674023431184367,0.0188362297514592,1,1,3.551,1,"induced"
"ENTPD3",0.0560667248431614,0.947025765427627,2,0,8.281,1,"unchanged"
"ENTPD5",-1.04814481588435,0.031798585121415,3.5,0,3.527,2,"repressed"
"ENTPD7",-0.0817730721919825,0.774890169847255,2,0,2.76,1,"unchanged"
"EOLA2",-0.087355455476636,0.795234157126233,2,0,2.914,1,"unchanged"
"EP300",-0.129801354824115,0.368032269788813,5,0,3.364,2,"unchanged"
"EPB41L1",0.227586468931815,0.423356601719022,1,1,3.834,1,"unchanged"
"EPB41L5",-0.782660422145119,0.0531981064284132,7,0,14.005,1,"repressed"
"EPC1",0.0976873418181166,0.554798910831593,7,0,17.483,1,"unchanged"
"EPCAM",0.347777296773899,0.248284607121,3,0,2.914,1,"unchanged"
"EPHA1",-0.402975605022558,0.167189118368079,5,0,4.601,2,"unchanged"
"EPHA2",0.382796161933347,0.114802783447289,7,0,13.176,1,"unchanged"
"EPHA3",0.600232671263608,0.456325129458804,6,0,4.635,1,"unchanged"
"EPHB2",-0.361704827335765,0.709005013840614,2,0,4.37,4,"unchanged"
"EPHB3",0.533659866501346,0.360007584104035,5.667,0,6.55,3,"unchanged"
"EPHB4",0.185569796005405,0.136177520145689,1,1,3.067,1,"unchanged"
"EPHX1",0.531099168179773,0.245686494569634,3,0,3.221,1,"unchanged"
"EPHX3",0.129643493715265,0.490383469657429,2.5,0,5.841,2,"unchanged"
"EPN1",-0.402365470058742,0.0596884990688632,3,0,3.629,3,"repressed"
"EPN2",0.219732169947562,0.268202081061896,3.571,0,4.755,7,"unchanged"
"EPN3",-0.465436741407634,0.119944694144748,1.25,0.75,4.926,4,"unchanged"
"EPOR",-0.384015078144911,0.225421076558518,2.75,0.5,5.031,4,"unchanged"
"EPPK1",-0.0657817636643792,0.899206010575703,6,0,5.243,1,"unchanged"
"EPS8",-0.732184066052811,0.0777508712699682,2.529,0.353,4.754,17,"repressed"
"ERBB3",-0.0217326361598253,0.967331227729372,4,0,2.965,1,"unchanged"
"ERCC1",0.11127479712535,0.641536485955948,7,0,9.289,2,"unchanged"
"ERCC2",0.148929222730559,0.609543643787634,5,0,4.304,2,"unchanged"
"ERGIC1",0.0524890825331719,0.707603327879771,4.158,0.053,4.246,19,"unchanged"
"ERI3",-0.0476996276498758,0.731240339401124,3,0,3.473,1,"unchanged"
"ERICH3",-0.838519359371078,0.331196206950709,4,0,2.914,1,"unchanged"
"ERICH4",-0.567303860425801,0.366714977739532,1,1,3.895,1,"unchanged"
"ERLIN2",-1.14630872423637,0.0137322070536543,4.333,0,6.41,3,"repressed"
"ERMARD",0.00384279913437968,0.985050347595123,6,0,7.821,1,"unchanged"
"ERMP1",0.157101181264431,0.597797668682392,3,0,4.678,2,"unchanged"
"ERN1",1.05867659833049,0.00793978426049497,6,0,4.872,1,"induced"
"ERO1B",-0.264157801162867,0.325069731397813,3,0,4.817,3,"unchanged"
"ERP29",-0.663363968339246,0.0709020856489185,1.222,0.778,4.716,9,"repressed"
"ESPN",-1.16695971434509,0.0446233906985843,2,0,3.449,1,"repressed"
"ESPNL",0.213508838948272,0.710982217510717,3,0,2.607,1,"unchanged"
"ESR1",-0.594796239557795,0.104998049439265,1,1,3.508,10,"unchanged"
"ESRRB",-1.28453064368206,0.0377797473826803,2.429,0.571,6.155,7,"repressed"
"ETF1",0.0144593239275475,0.951306640709593,1.75,0.5,3.968,4,"unchanged"
"ETFA",-0.75291072709783,0.100968374344184,1,1,3.067,1,"unchanged"
"ETNK1",-0.449641422446637,0.208893395875221,3,0,4.185,3,"unchanged"
"ETNK2",0.106332488147723,0.769218729329089,3.833,0,3.505,6,"unchanged"
"ETNPPL",-0.370105512536734,0.776718883179494,6,0,6.629,1,"unchanged"
"ETS1",0.110528725330052,0.763121235421287,3.722,0.111,5.706,18,"unchanged"
"ETV3",0.181491501579432,0.202923990342444,2,0.625,4.2,8,"unchanged"
"ETV4",2.73843382035105,0.0048133053088007,5,0,3.134,1,"induced"
"ETV6",0.034785968877614,0.792619376563549,4,0,7.676,2,"unchanged"
"ETV7",3.48096432715834,0.00592913875525179,7,0,10.321,1,"induced"
"EVA1A",0.723546163302728,0.105266789794072,2.667,0.333,4.089,3,"unchanged"
"EVI5",-0.180968780647707,0.466190377922969,2,0,3.163,1,"unchanged"
"EVL",0.181619638833099,0.464405347992705,4,0,2.697,1,"unchanged"
"EVPL",1.29075651463552,0.0222229084628434,4.667,0,5.697,3,"induced"
"EWSR1",0.0982306188048288,0.452431209625445,2,0,3.221,1,"unchanged"
"EXD3",-0.213808104361095,0.27388309323968,2,0,3.067,1,"unchanged"
"EXO5",0.177599413010176,0.57169908992296,7,0,7.259,1,"unchanged"
"EXOC1",-0.13392400354491,0.53832011927038,6,0,7.798,1,"unchanged"
"EXOC2",-0.306617454828046,0.178054185486971,6,0,6.288,1,"unchanged"
"EXOC3L1",-0.168784647311985,0.628822080240188,6,0,9.138,1,"unchanged"
"EXOC3L2",-0.804100777080124,0.0105383275414171,2,0.667,5.347,3,"repressed"
"EXOC3L4",-0.230061989881255,0.35429213218277,3.5,0,2.914,2,"unchanged"
"EXOC6B",0.195003465653412,0.222751531483691,7,0,14.54,1,"unchanged"
"EXOC7",0.0170447180327216,0.90120339412293,6,0,14.439,1,"unchanged"
"EXOSC3",-0.0731481389661202,0.646687219305942,7,0,8.752,1,"unchanged"
"EXOSC5",0.25139602506047,0.515285648679774,4,0,4.335,1,"unchanged"
"EXOSC6",0.0278849588189924,0.934614334697441,7,0,23.05,1,"unchanged"
"EXOSC7",-0.00616848892148969,0.974867915834666,3.5,0,5.094,4,"unchanged"
"EXT2",0.202530763163344,0.143745754026587,2,0,4.831,2,"unchanged"
"EXTL3",0.100067161441421,0.531372946252713,5,0,16.094,2,"unchanged"
"EYA3",-0.0151487334280569,0.924428887757019,4.182,0,4.671,11,"unchanged"
"EZH1",-0.380278152271631,0.0847865132261207,5.5,0,5.352,2,"repressed"
"F11R",0.0788061446449237,0.701177839491811,3.75,0,6.143,4,"unchanged"
"F2R",0.184607780029586,0.663681824490907,2.5,0.5,6.671,2,"unchanged"
"F2RL1",-0.0510208933209446,0.888913852229288,1,1,3.451,2,"unchanged"
"F2RL2",1.23918777816722,0.0180662353351251,2.4,0.2,4.11,5,"induced"
"F3",1.31043075929087,0.00330146632416522,5,0,4.104,2,"induced"
"F5",-0.907637996270958,0.102121488102531,2,0.25,3.802,4,"unchanged"
"F8",-0.809462221996123,0.0426756746043916,3.667,0,3.578,3,"repressed"
"FAAP100",0.0664559863308627,0.80198371205455,5.5,0,4.798,2,"unchanged"
"FABP1",-2.37014596138931,0.0294825832677184,3,0,2.423,1,"repressed"
"FABP3",-1.79216025325785,0.0103235251558437,4.75,0,5.413,4,"repressed"
"FABP4",1.38100063510834,0.0744397064536526,2.4,0,3.631,5,"induced"
"FADS2",0.67901267306903,0.388437629397097,1.333,0.667,5.015,3,"unchanged"
"FADS3",1.60334694970296,0.00853823314434438,5,0,3.854,2,"induced"
"FADS6",-0.0288834364359447,0.975798933183136,5,0,9.468,1,"unchanged"
"FAM102A",0.307704941194698,0.0959697932526136,6.2,0,5.544,10,"induced"
"FAM104A",0.261776027660733,0.0218267962914556,7,0,7.763,1,"induced"
"FAM107A",-0.161345461727659,0.653498337644014,4.143,0,4.505,7,"unchanged"
"FAM107B",0.0693055944386467,0.778589161074945,1,1,2.672,1,"unchanged"
"FAM110A",0.527373391514065,0.105811162004774,6,0,7.975,1,"unchanged"
"FAM110D",0.567439677125258,0.179112157459033,7,0,9.333,1,"unchanged"
"FAM114A2",-0.180990003119146,0.414873865696296,2.909,0.273,3.299,11,"unchanged"
"FAM117A",-1.01983684266635,0.00461258679110443,4.667,0,4.977,3,"repressed"
"FAM118A",0.31806731256717,0.346423020466601,7,0,15.379,1,"unchanged"
"FAM120A",-0.355390567217981,0.131242633433068,5.5,0,4.732,2,"unchanged"
"FAM120B",-0.21655228149973,0.0721023017520733,3,0.5,3.436,2,"repressed"
"FAM126B",-0.175535829266861,0.629404697719047,2,0,2.607,1,"unchanged"
"FAM131A",0.143950191048277,0.532199756904427,4,0,3.595,1,"unchanged"
