"gene_symbol","log_fc","fdr","mean_tissues","frac_kidney_specific","mean_fold_change","n_enhancers","state"
"ACSL1",-1.46956646496262,0.118197618689536,1.4,0.6,5.105,5,"unchanged"
"ACSL5",-1.02357875822719,0.182780816135593,3,0,3.527,1,"unchanged"
"ACSM3",-2.60254773892259,0.0103235251558437,1.75,0.75,4.034,4,"repressed"
"ACSS2",-0.477982942780369,0.0117359827762105,1.875,0.375,4.246,8,"repressed"
"ACSS3",-0.367892910074533,0.17184204597766,1,1,2.914,1,"unchanged"
"ACTA2",1.31750306507449,0.043066419647977,2.714,0.5,3.924,14,"induced"
"ACTG2",0.260661810217579,0.750140573312785,3,0,3.64,2,"unchanged"
"ACTR10",-0.150857445274751,0.294669574459956,7,0,6.316,1,"unchanged"
"ACTR1B",-0.0355474839112624,0.84170384950561,7,0,3.728,1,"unchanged"
"ACTR3B",-0.0940349219541288,0.610292697963403,5,0,5.61,1,"unchanged"
"ACVR1B",-0.382532295221617,0.270079547185751,1,1,2.607,1,"unchanged"
"ADA",-1.22608282530075,0.0169759102221937,4,0,5.243,1,"repressed"
"ADA2",1.66490108412845,0.0534152012801568,5.25,0,5.863,4,"induced"
"ADAL",-0.088212607955124,0.758084471085336,1.5,0.5,3.067,2,"unchanged"
"ADAM11",-0.15817529851433,0.70910594305393,2,0,4.294,1,"unchanged"
"ADAM12",1.10769289838338,0.0226476295824122,4.5,0,5.153,2,"induced"
"ADAM19",1.76669827467378,0.0197489798867888,4.412,0,4.241,17,"induced"
"ADAM33",1.18967954966937,0.106406711957445,5,0,4.447,1,"unchanged"
"ADAM9",0.823955139899565,0.024373666771258,3,0,3.296,1,"induced"
"ADAMTS12",0.932064974840028,0.079244189242703,1.95,0.3,3.993,20,"induced"
"ADAMTS14",2.74819352071586,0.016513915436318,1.333,0.667,3.564,3,"induced"
"ADAMTS15",-0.88773525372383,0.0802970355219753,3.667,0,3.254,3,"repressed"
"ADAMTS6",0.372201324139071,0.663615753155357,5.667,0,5.816,3,"unchanged"
"ADAMTS7",0.887085707914753,0.0965568785371439,3.5,0,3.854,2,"induced"
"ADAMTSL1",-0.500945231134641,0.114681715258891,1,1,3.067,1,"unchanged"
"ADAMTSL2",2.55470701496036,0.00327118314837507,6,0,8.977,2,"induced"
"ADAMTSL4",1.63802112445801,0.00900256111141386,7,0,3.987,1,"induced"
"ADARB1",-0.290086009925039,0.224692742368941,3.667,0,8.097,3,"unchanged"
"ADCK1",-0.161029126113218,0.575393268965679,5,0,3.745,1,"unchanged"
"ADCY6",0.350424838458718,0.0777508712699682,5,0,7.055,1,"induced"
"ADCY7",1.10569431871937,0.0532113393369187,7,0,13.956,1,"induced"
"ADCYAP1R1",-0.989583870294879,0.109001999143435,4,0,5.135,3,"unchanged"
"ADD1",0.0702302811989286,0.622395765207737,2,0.5,3.807,2,"unchanged"
"ADD3",-0.536405266844175,0.0823957906871232,2.333,0.333,6.39,3,"repressed"
"ADGRA3",-0.689785582577096,0.0799512230428823,3,0,3.067,1,"repressed"
"ADGRB1",0.891131272520379,0.0372645777616886,6,0,7.515,1,"induced"
"ADGRD1",2.56515157619691,0.0121473339462536,4.333,0,3.724,3,"induced"
"ADGRD2",-0.451654094538632,0.585735679374037,2,0,3.221,2,"unchanged"
"ADGRF1",0.637394092593071,0.40571575098273,3,0,5.326,1,"unchanged"
"ADGRF5",-0.445221290603481,0.108711263661416,3.389,0,4.047,18,"unchanged"
"ADGRG1",0.765131558770313,0.0212350748880267,2.5,0.5,8.358,2,"induced"
"ADGRG5",2.15382414486191,0.0496643006817409,3,0,3.446,1,"induced"
"ADGRL1",0.172434663701042,0.509700855949833,1.909,0.545,3.762,11,"unchanged"
"ADGRL4",0.306499680333581,0.453481186799853,2,0,3.221,3,"unchanged"
"ADH4",-3.16030411936104,0.0110944525767244,2,0.4,4.97,5,"repressed"
"ADHFE1",-2.57286814079301,0.014651257206935,1,1,2.955,2,"repressed"
"ADIPOR2",0.102365864610983,0.532353147010774,2,0.667,3.111,3,"unchanged"
