"outcome","term","Estimate","odds_ratio","Std. Error","Pr(>|z|)"
"repressed","(Intercept)",-1.87519346373312,0.153,0.0895168108225263,1.95893575445214e-97
"repressed","frac_kidney_specific",0.79381968750549,2.212,0.10136375632763,4.82483439134435e-15
"repressed","log(n_enhancers + 1)",0.283821397647549,1.328,0.0663889303382129,1.91024637301951e-05
"induced","(Intercept)",-1.23077422299583,0.292,0.0817889844359613,3.54937825542007e-51
"induced","frac_kidney_specific",-1.11489775521376,0.328,0.140326177459469,1.94120741913834e-15
"induced","log(n_enhancers + 1)",0.195054197971839,1.215,0.066079506570411,0.00315916486555539
