"outcome","term","Estimate","odds_ratio","Std. Error","Pr(>|z|)"
"repressed_signal_adjusted","(Intercept)",-1.88199379505977,0.152,0.116859510598294,2.36231604478073e-58
"repressed_signal_adjusted","frac_kidney_specific",0.796155679952526,2.217,0.10460754223048,2.72231296773067e-14
"repressed_signal_adjusted","log(n_enhancers + 1)",0.284802942442323,1.33,0.0672714526828744,2.2994151897239e-05
"repressed_signal_adjusted","mean_fold_change",0.000914933640194279,1.001,0.0100924203975581,0.927766313277419
"induced_signal_adjusted","(Intercept)",-0.86424992329575,0.421,0.10662446190262,5.25073787986173e-16
"induced_signal_adjusted","frac_kidney_specific",-1.22320264683381,0.294,0.141086089036523,4.32490272660305e-18
"induced_signal_adjusted","log(n_enhancers + 1)",0.138039631661581,1.148,0.0669497946677164,0.0392231605929965
"induced_signal_adjusted","mean_fold_change",-0.0521071694042812,0.949,0.0103216039129251,4.45619505267252e-07
