"motif_id","motif_name","log2_enrichment","neg_log10_padj","set","direction","region_type","markers_excluded","padj","tf_log_fc","tf_fdr","tf_matched"
"MA0031.1","FOXD1",-0.221152273246397,0.000783355697064189,"medulla_early","down","enhancer",FALSE,0.998197882616469,0.63017856901305,0.121903352863792,"FOXD1"
"MA0051.1","IRF2",-0.214716196992692,0.000783355697064189,"medulla_early","down","enhancer",FALSE,0.998197882616469,0.217173928590692,0.341640931174144,"IRF2"
"MA0059.1","MAX::MYC",0.0531480714694332,0.000783355697064189,"medulla_early","down","enhancer",FALSE,0.998197882616469,0.840782416698474,0.234985963307979,"MYC"
"MA0066.1","PPARG",0.136210261245074,0.000783355697064189,"medulla_early","down","enhancer",FALSE,0.998197882616469,1.37320301516143,0.0869135823172405,"PPARG"
"MA0070.1","PBX1",-0.228018924682074,0.000783355697064189,"medulla_early","down","enhancer",FALSE,0.998197882616469,0.504126129843289,0.19190814414701,"PBX1"
"MA0071.1","RORA",0.0356655371077927,0.000783355697064189,"medulla_early","down","enhancer",FALSE,0.998197882616469,-0.560742748182804,0.335161734083373,"RORA"
"MA0073.1","RREB1",-0.119101912347426,0.000783355697064189,"medulla_early","down","enhancer",FALSE,0.998197882616469,-0.232197035188481,0.618080744818636,"RREB1"
"MA0074.1","RXRA::VDR",-0.0561831656423788,0.000783355697064189,"medulla_early","down","enhancer",FALSE,0.998197882616469,-1.09932889011824,0.372016550714213,"VDR"
"MA0077.1","SOX9",-0.0306232207183799,0.000783355697064189,"medulla_early","down","enhancer",FALSE,0.998197882616469,0.149611239615608,0.904147284538814,"SOX9"
"MA0091.1","TAL1::TCF3",0.00200877513990338,0.000783355697064189,"medulla_early","down","enhancer",FALSE,0.998197882616469,0.760909391800218,0.0716761923256732,"TAL1"
"MA0101.1","REL",0.0222814154311273,0.000783355697064189,"medulla_early","down","enhancer",FALSE,0.998197882616469,0.0800215676474639,0.968675604394128,"REL"
"MA0107.1","RELA",-0.137373236369356,0.000783355697064189,"medulla_early","down","enhancer",FALSE,0.998197882616469,0.558077788889914,0.0564862461561881,"RELA"
"MA0115.1","NR1H2::RXRA",0.37088645416386,0.000783355697064189,"medulla_early","down","enhancer",FALSE,0.998197882616469,0.285160089250391,0.249873545188576,"NR1H2"
"MA0119.1","NFIC::TLX1",-0.256327002543024,0.000783355697064189,"medulla_early","down","enhancer",FALSE,0.998197882616469,0.110585462196594,0.718758563012995,"NFIC"
"MA0139.1","CTCF",-0.0109162326264185,0.000783355697064189,"medulla_early","down","enhancer",FALSE,0.998197882616469,-0.00889126866160517,0.974038165068298,"CTCF"
"MA0138.2","REST",-0.186599740770213,0.000783355697064189,"medulla_early","down","enhancer",FALSE,0.998197882616469,-0.0415618307860806,0.945209506982702,"REST"
"MA0152.1","NFATC2",-0.127785655840594,0.000783355697064189,"medulla_early","down","enhancer",FALSE,0.998197882616469,0.590951661666812,0.346753245063191,"NFATC2"
"MA0159.1","RARA::RXRA",-0.0300948653264115,0.000783355697064189,"medulla_early","down","enhancer",FALSE,0.998197882616469,0.237473110317985,0.33777301629397,"RARA"
