"motif_id","motif_name","log2_enrichment","neg_log10_padj","set","direction","region_type","markers_excluded","padj","tf_log_fc","tf_fdr","tf_matched","direction_coherent"
"MA0141.3","ESRRB",0.871586919615649,1.85084275742417,"cortex_late","down","promoter",FALSE,0.0140979914412418,-1.23719169277586,0.0538021583252273,"ESRRB",TRUE
"MA0517.1","STAT1::STAT2",0.732435484558938,1.44333548702632,"cortex_late","up","promoter",FALSE,0.0360300208111509,0.603573978204228,0.0811251148209067,"STAT1",TRUE
