"source","term_id","term_name","p_value","term_size","intersection_size"
"REAC","REAC:R-HSA-1428517","Aerobic respiration and respiratory electron transport",0.00756355421233023,94,19
"KEGG","KEGG:00020","Citrate cycle (TCA cycle)",0.0443038463714096,8,4
