"stratum","n","n_err_site","pct_mito_err_pos","pct_mito_err_neg","odds_ratio","ci_low","ci_high","p_value"
"repressed",1705,136,41.18,23.01,2.341,1.6,3.408,9.38e-06
"not_repressed",9254,473,15.22,9.24,1.764,1.339,2.298,5.23e-05
