"sample_id","group","epithelial","immune","fibroblast","up_PC1","down_PC1"
"Cat_09","CKD12",-1.59044276087775,1.61052877148985,1.23528338362445,60.5999410462249,-55.2417244794264
"Cat_20","CKD34",-0.802428890982748,1.14230381465566,0.947260032623869,49.8589663828146,-41.3201194173348
"Cat_03","Control",0.194810341656536,-0.102236745674321,0.531554523997092,-0.108797032476225,-0.382297174648509
"Cat_14","CKD12",0.622270078195424,-0.777579308101625,-0.734108667123599,-40.1599755299887,32.5323704466413
"Cat_05","Control",0.929092123971297,-1.42816106752754,-1.63451777657336,-78.4296132241495,67.7482504616301
"Cat_17","CKD34",-0.174750925035255,0.0776767241189983,0.21243520173418,14.1714470339565,-17.9538705841015
"Cat_10","CKD12",0.642230300088321,-0.382702864611105,-0.234232737513991,-23.6670264701889,25.0456344776295
"Cat_23","CKD34",-1.66493343850741,0.381850166966518,0.853191375412199,49.3406730630524,-59.900946873578
"Cat_22","CKD34",-0.486760166429104,0.126310822602437,0.583875126060263,26.081943091622,-32.6065779300863
"Cat_11","CKD12",0.425677240179425,0.547403699463867,-0.568464455086403,-0.826852389086991,9.90181221174106
"Cat_16","CKD12",-1.10647576457364,0.395387139686893,0.784885065583877,40.0484859406654,-30.3312533397485
"Cat_06","Control",0.503223544640667,-1.27741778586034,-0.85984945003782,-41.9146014688562,32.6337887596945
"Cat_02","Control",0.292307197524024,-0.399915945522817,-0.183748923310407,-21.2921685942378,25.9760375858395
"Cat_21","CKD34",-0.167716741777186,0.463766235668655,0.917624416133403,28.0241350872864,-20.0729310223495
"Cat_19","CKD34",-1.22773036194763,0.722733934638713,1.03387247199539,42.0470566951205,-40.840654011432
"Cat_01","Control",0.839390530946906,-0.994299047286803,-1.11105492060759,-49.9335498128546,41.5402920100355
"Cat_12","CKD12",0.359602436232711,0.373430310495258,-0.765081314122709,3.43478821919191,1.95601513180949
"Cat_15","CKD12",0.441036885691144,1.09921786327963,0.764714559894055,13.220846247101,1.38778286955113
"Cat_04","Control",0.981504803820411,-1.42102076029216,-1.93313134596596,-66.9030405286098,48.315820210831
"Cat_07","CKD12",0.608830864428481,-0.170857030414634,-0.307513867983416,-11.6630486694109,12.554372963008
"Cat_18","CKD34",0.381262702755373,0.0135810722248634,0.467007301266483,8.07039091282394,-0.941802295705678
