"compartment","direction","region_type","motif_name","log2_enrichment","padj","tf_matched","tf_log_fc","tf_fdr"
"Medulla","up","Promoters","STAT1::STAT2",0.798082918751394,0.0270238373759916,"STAT1",0.938329362011193,0.099434494930946
"Cortex","down","Promoters","ESRRB",0.827614165362285,0.045281277580781,"ESRRB",-1.28453064368206,0.0377797473826803
"Medulla","up","Promoters","IRF1",0.920184112461258,0.00212204354482051,"IRF1",1.50356995512709,0.0225323428242336
"Medulla","up","Promoters","IRF9",1.04947469942708,0.00488113967192103,"IRF9",1.16627744633299,0.0137129769988415
"Medulla","up","Promoters","IRF8",1.3525858408936,0.000215714475470517,"IRF8",1.2014900297991,0.0750354753981774
