"compartment","contrast","n primary with age","n sensitivity without age","n shared","jaccard","logfc spearman"
"cortex","CKD34 - Control",5117,5087,4950,0.942,0.999
"medulla","CKD12 - Control",3578,1908,1908,0.533,0.998
