"motif_id","motif_name","log2_enrichment","neg_log10_padj","set","direction","region_type","markers_excluded","padj","tf_log_fc","tf_fdr","tf_matched","direction_coherent"
"MA0141.3","ESRRB",0.827614165362285,1.34408132832032,"cortex_late","down","promoter",FALSE,0.045281277580781,-1.28453064368206,0.0377797473826803,"ESRRB",TRUE
"MA0652.1","IRF8",1.3525858408936,3.66612071068775,"medulla_early","up","promoter",TRUE,0.000215714475470517,1.2014900297991,0.0750354753981774,"IRF8",TRUE
"MA0517.1","STAT1::STAT2",0.947689920825852,3.13854560199999,"medulla_early","up","promoter",TRUE,0.00072686607246278,0.938329362011193,0.099434494930946,"STAT1",TRUE
"MA0050.2","IRF1",0.920184112461258,2.67324570852081,"medulla_early","up","promoter",TRUE,0.00212204354482051,1.50356995512709,0.0225323428242336,"IRF1",TRUE
"MA0653.1","IRF9",1.04947469942708,2.3114787649973,"medulla_early","up","promoter",TRUE,0.00488113967192103,1.16627744633299,0.0137129769988415,"IRF9",TRUE
"MA0517.1","STAT1::STAT2",0.798082918751394,1.56825298126189,"medulla_early","up","promoter",FALSE,0.0270238373759916,0.938329362011193,0.099434494930946,"STAT1",TRUE
